nombre,h_m,fuente_altitud,lat,lon,azimut_deg,dist_km,elev_deg,estado,truncado_km
Cabeza Sonllanu,1284.0,osm,43.26749,-4.81028,147.92,1.31,16.953,visible,
Ariscu Sonllanu,1339.0,osm,43.26697,-4.81443,162.83,1.23,20.397,visible,
Diente de Urriellu,2322.0,osm,43.20591,-4.83379,188.62,8.05,10.100,visible,
Neverón de Urriellu,2555.0,osm,43.20467,-4.83578,189.59,8.21,11.474,visible,
Neverón del Albo,2434.0,osm,43.21340,-4.83775,192.10,7.29,11.982,visible,
Cueto Albo,2402.0,osm,43.21500,-4.83913,193.27,7.14,11.980,visible,
Pico del Albo,2431.0,osm,43.21502,-4.83913,193.28,7.14,12.205,visible,
Torre Cerredo,2649.2,osm,43.19776,-4.85361,197.61,9.30,10.714,visible,
Pico de los Cabrones,2558.0,osm,43.20279,-4.85641,200.10,8.85,10.687,visible,
Pico de Dobresengos VII,2346.0,osm,43.20445,-4.85847,201.55,8.73,9.476,visible,
Pico de Dobresengos VI,2343.0,osm,43.20811,-4.86013,203.42,8.41,9.816,visible,
Pico de Dobresengos V,2375.0,osm,43.20853,-4.85998,203.47,8.36,10.085,visible,
Pico de Dobresengos IV,2384.0,osm,43.20858,-4.85999,203.49,8.35,10.151,visible,
Pico de Dobresengos III,2375.0,osm,43.20862,-4.86003,203.52,8.35,10.093,visible,
Pico de Dobresengos II,2381.0,osm,43.20859,-4.86013,203.57,8.36,10.126,visible,
Pico de Dobresengos I,2330.0,osm,43.21038,-4.86223,205.20,8.25,9.918,visible,
Cantu Collugos,1446.0,osm,43.23911,-4.84445,205.87,4.74,6.745,visible,
Cueto del Trave Sur,2219.0,osm,43.21699,-4.86096,206.87,7.54,10.015,visible,
Cueto del Trave Central,2251.0,osm,43.21784,-4.86115,207.30,7.46,10.354,visible,
Cueto del Trave III,2227.0,osm,43.21789,-4.86126,207.38,7.46,10.176,visible,
Aguja de la Garma,2137.0,osm,43.21795,-4.86125,207.40,7.46,9.514,visible,
Cueto del Trave Norte,2235.0,osm,43.22107,-4.86454,210.52,7.28,10.486,visible,
Cueto del Trave II,2219.0,osm,43.22117,-4.86451,210.55,7.27,10.380,visible,
Cuetu Pan de La Cal,407.0,osm,43.25700,-4.83802,214.19,2.76,-9.817,visible,
Cabezu Salines,1482.0,osm,43.23721,-4.86694,220.99,5.93,5.738,visible,
Cueto Pando,861.0,osm,43.25811,-4.84472,224.12,3.00,-0.439,visible,
Cueto de Los Cabritos,2032.0,osm,43.19996,-4.93240,226.88,12.60,5.158,visible,
El Picón,1960.0,osm,43.19712,-4.93837,227.32,13.17,4.621,visible,
Canto de Los Agudos o de Los Medianos,1127.0,osm,43.23809,-4.88050,228.72,6.64,2.075,visible,
Torres de Cotalbín,2188.0,osm,43.18966,-4.96083,229.70,15.09,4.884,visible,
Cerra del Rayo,2078.0,osm,43.20038,-4.94844,230.79,13.55,4.985,visible,
La Raxuca,1432.0,osm,43.26423,-4.84981,239.49,2.90,10.684,visible,
Cabeza Dubrieyu,1348.0,osm,43.27620,-4.86373,267.74,3.63,7.276,visible,
Peña La Quima,1211.0,osm,43.28009,-4.86780,274.17,3.97,4.703,visible,
Cabeza El Campillon,1334.0,osm,43.28089,-4.87862,274.48,4.85,5.291,visible,
Peña del Llagu,1388.0,osm,43.28400,-4.90086,276.24,6.67,4.298,visible,
Las Coronas,1219.0,osm,43.28553,-4.86682,282.98,3.98,4.804,visible,
