nombre,h_m,fuente_altitud,lat,lon,azimut_deg,dist_km,elev_deg,estado,truncado_km
Cerro del Collado de la Torrecilla,1524.0,osm,36.90137,-4.08327,0.81,17.06,5.024,visible,
Veas,703.0,osm,36.81692,-4.07366,8.16,7.74,5.124,visible,
Mojón de tres Términos,2065.0,osm,36.90337,-4.04363,12.30,17.68,6.577,visible,
Maroma,2069.0,osm,36.90333,-4.04362,12.31,17.68,6.592,visible,
Cima de Tejeda,2069.0,osm,36.90410,-4.03866,13.63,17.86,6.524,visible,
Cerro del Sol,2068.0,osm,36.90497,-4.03641,14.18,18.00,6.468,visible,
Cerro el Fuerte,1509.0,osm,36.88892,-4.03962,14.75,16.20,5.241,visible,
Cerro Juan María,576.0,osm,36.82695,-4.05631,16.75,9.17,3.530,visible,
Cerro La Cuna,1630.0,osm,36.89593,-4.02392,18.55,17.35,5.284,visible,
Cerro del Tablón,824.0,osm,36.86805,-4.03417,19.05,14.12,3.265,visible,
Cerro de Santiago,1657.0,osm,36.89160,-3.99089,27.90,18.07,5.153,visible,
Benthomiz,708.0,osm,36.80416,-4.04375,31.06,7.29,5.482,visible,
Cerro Pozuelo o de la Chapa,1827.0,osm,36.89138,-3.92479,41.94,21.45,4.773,visible,
La Chapa,1817.5,osm,36.89131,-3.92468,41.97,21.45,4.747,visible,
Cerro Verde,1327.0,osm,36.86218,-3.94389,44.86,17.92,4.149,visible,
Cerro Atalaya,1262.0,osm,36.85669,-3.94554,45.93,17.39,4.067,visible,
Cerro de los Frailes,1502.0,osm,36.87011,-3.91926,47.50,20.12,4.178,visible,
Cerro de Rajas Negras,1650.0,osm,36.86913,-3.91644,48.21,20.23,4.571,visible,
Cerro de los Corrales,1674.0,osm,36.87030,-3.91051,48.91,20.71,4.527,visible,
Cerro de los Llanos,1649.0,osm,36.86801,-3.90744,49.94,20.76,4.449,visible,
Cerro de Mota,1656.0,osm,36.87132,-3.90045,50.25,21.47,4.315,visible,
El Cerro,713.0,osm,36.81480,-3.98203,51.23,11.87,3.368,visible,
Cerro de la Venta Panaderos,1696.0,osm,36.86587,-3.89541,52.26,21.44,4.427,visible,
Cerro de Juliana,1004.0,osm,36.82908,-3.95497,52.27,14.75,3.819,visible,
Cerro Lucero,1782.0,osm,36.86757,-3.89064,52.55,21.89,4.556,visible,
Cerro de los Bojes,1417.0,osm,36.85947,-3.89999,53.13,20.69,3.825,visible,
Cerrillo de la Hierba,1566.0,osm,36.85493,-3.86777,58.47,22.78,3.832,visible,
Cerro Cisne,1491.0,osm,36.84357,-3.87941,59.92,21.24,3.919,visible,
La Cadena,1645.0,osm,36.85420,-3.85555,60.01,23.67,3.871,visible,
Cerro de Cabañeros,1716.0,osm,36.85900,-3.81450,62.87,27.14,3.502,visible,
El Fuerte,976.3,osm,36.81419,-3.91415,64.27,16.98,3.208,visible,
Navachica,1831.0,osm,36.84192,-3.81529,66.49,26.27,3.875,visible,
Altos de la Mina,1689.0,osm,36.83559,-3.83080,66.72,24.72,3.801,visible,
Almendrón,1514.0,osm,36.82551,-3.83991,68.46,23.55,3.575,visible,
Torre de Almendrón,1335.0,osm,36.82413,-3.84002,68.80,23.48,3.151,visible,
Cerro del Barranco del Pino,1619.0,osm,36.82024,-3.79653,72.61,27.00,3.316,visible,
Alto de la Cuesta del Espartal,1601.0,osm,36.81480,-3.80281,73.51,26.29,3.372,visible,
Cielo,1508.0,osm,36.80499,-3.81489,75.21,24.96,3.349,visible,
Cerro Molinero,1106.0,osm,36.79755,-3.82860,76.41,23.58,2.582,visible,
Cerro Cabeza del Caballo,1188.0,osm,36.79556,-3.80513,77.98,25.57,2.550,visible,
Cerro Pastora,447.0,osm,36.76223,-3.93129,83.41,13.87,1.772,visible,
Puerto,359.0,osm,36.75224,-3.93112,88.00,13.81,1.416,visible,
Santopitar,1019.0,osm,36.80329,-4.29272,288.53,19.41,2.915,visible,
Chamizo,1641.0,osm,36.98287,-4.31155,322.53,32.93,2.716,visible,
Pico de Vilo,1415.0,osm,36.96691,-4.23151,332.04,27.57,2.821,visible,
La Peña,1429.0,osm,36.98232,-4.20399,338.09,28.09,2.793,visible,
La Torca,1500.0,osm,36.97940,-4.19265,339.79,27.42,3.014,visible,
Cerro López,929.0,osm,36.95255,-4.16963,341.91,23.93,2.118,visible,
Hoyo del Toro,1352.0,osm,36.95306,-4.14561,346.92,23.41,3.202,visible,
